operation,stategy,blockSize,fileSizeInBytes,duration
WRITE,BlockByBlockWithBufferedStream,500,10485760,116
WRITE,BlockByBlockWithBufferedStream,50,10485760,118
WRITE,BlockByBlockWithBufferedStream,5,10485760,216
WRITE,ByteByByteWithBufferedStream,0,10485760,660
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,212
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,1446
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,13411
WRITE,ByteByByteWithoutBufferedStream,0,10485760,65109
READ,BlockByBlockWithBufferedStream,500,10485760,152
READ,BlockByBlockWithBufferedStream,50,10485760,157
READ,BlockByBlockWithBufferedStream,5,10485760,123
READ,ByteByByteWithBufferedStream,0,10485760,224
READ,BlockByBlockWithoutBufferedStream,500,10485760,134
READ,BlockByBlockWithoutBufferedStream,50,10485760,1069
READ,BlockByBlockWithoutBufferedStream,5,10485760,12036
READ,ByteByByteWithoutBufferedStream,0,10485760,47777
